requestedUrl,finalUrl,category,name,title,type,score
"https://localhost:8080/","https://localhost:8080/","Accessibility","accesskeys","`[accesskey]` values are unique","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","aria-allowed-attr","`[aria-*]` attributes match their roles","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","aria-command-name","`button`, `link`, and `menuitem` elements have accessible names","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","aria-hidden-body","`[aria-hidden=""true""]` is not present on the document `<body>`","binary","1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","aria-hidden-focus","`[aria-hidden=""true""]` elements do not contain focusable descendents","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","aria-input-field-name","ARIA input fields have accessible names","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","aria-meter-name","ARIA `meter` elements have accessible names","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","aria-progressbar-name","ARIA `progressbar` elements have accessible names","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","aria-required-attr","`[role]`s have all required `[aria-*]` attributes","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","aria-required-children","Elements with an ARIA `[role]` that require children to contain a specific `[role]` have all required children.","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","aria-required-parent","`[role]`s are contained by their required parent element","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","aria-roles","`[role]` values are valid","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","aria-toggle-field-name","ARIA toggle fields have accessible names","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","aria-tooltip-name","ARIA `tooltip` elements have accessible names","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","aria-treeitem-name","ARIA `treeitem` elements have accessible names","notApplicable","-1"
